date,seguro,isPartial
2022-01-23,80,False
2022-01-30,83,False
2022-02-06,87,False
2022-02-13,84,False
2022-02-20,89,False
2022-02-27,90,False
2022-03-06,85,False
2022-03-13,84,False
2022-03-20,80,False
2022-03-27,73,False
2022-04-03,68,False
2022-04-10,72,False
2022-04-17,77,False
2022-04-24,75,False
2022-05-01,76,False
2022-05-08,79,False
2022-05-15,81,False
2022-05-22,80,False
2022-05-29,79,False
2022-06-05,79,False
2022-06-12,78,False
2022-06-19,79,False
2022-06-26,77,False
2022-07-03,77,False
2022-07-10,77,False
2022-07-17,86,False
2022-07-24,73,False
2022-07-31,84,False
2022-08-07,80,False
2022-08-14,78,False
2022-08-21,78,False
2022-08-28,78,False
2022-09-04,76,False
2022-09-11,79,False
2022-09-18,78,False
2022-09-25,84,False
2022-10-02,75,False
2022-10-09,79,False
2022-10-16,78,False
2022-10-23,76,False
2022-10-30,76,False
2022-11-06,78,False
2022-11-13,74,False
2022-11-20,69,False
2022-11-27,72,False
2022-12-04,60,False
2022-12-11,68,False
2022-12-18,66,False
2022-12-25,69,False
2023-01-01,87,False
2023-01-08,86,False
2023-01-15,78,False
2023-01-22,83,False
2023-01-29,91,False
2023-02-05,93,False
2023-02-12,85,False
2023-02-19,87,False
2023-02-26,90,False
2023-03-05,84,False
2023-03-12,79,False
2023-03-19,78,False
2023-03-26,80,False
2023-04-02,69,False
2023-04-09,75,False
2023-04-16,78,False
2023-04-23,79,False
2023-04-30,73,False
2023-05-07,76,False
2023-05-14,78,False
2023-05-21,81,False
2023-05-28,78,False
2023-06-04,77,False
2023-06-11,77,False
2023-06-18,80,False
2023-06-25,77,False
2023-07-02,88,False
2023-07-09,86,False
2023-07-16,75,False
2023-07-23,74,False
2023-07-30,88,False
2023-08-06,83,False
2023-08-13,79,False
2023-08-20,80,False
2023-08-27,74,False
2023-09-03,80,False
2023-09-10,77,False
2023-09-17,80,False
2023-09-24,83,False
2023-10-01,82,False
2023-10-08,80,False
2023-10-15,78,False
2023-10-22,77,False
2023-10-29,77,False
2023-11-05,82,False
2023-11-12,80,False
2023-11-19,77,False
2023-11-26,80,False
2023-12-03,75,False
2023-12-10,78,False
2023-12-17,74,False
2023-12-24,73,False
2023-12-31,86,False
2024-01-07,90,False
2024-01-14,90,False
2024-01-21,86,False
2024-01-28,92,False
2024-02-04,91,False
2024-02-11,85,False
2024-02-18,88,False
2024-02-25,86,False
2024-03-03,88,False
2024-03-10,83,False
2024-03-17,82,False
2024-03-24,74,False
2024-03-31,78,False
2024-04-07,80,False
2024-04-14,77,False
2024-04-21,80,False
2024-04-28,75,False
2024-05-05,76,False
2024-05-12,75,False
2024-05-19,78,False
2024-05-26,83,False
2024-06-02,85,False
2024-06-09,82,False
2024-06-16,83,True
